unemployment,violent_total
8.842,551.1
8.058,549.7
6.258,539.5
5.775,545.7
5.442,518.6
5.508,506.8
6.383,506.3
7.408,510.2
7.033,503.1
5.433,520.6
4.917,522.4
5.7,463.1
5.667,444.4
5.75,419.8
5.5,374.9
5.1,350.7
6.417,306.6
7.525,292.5
8.108,294.8
7.308,298.6
6.175,287
5.342,284.6
5.15,293.9
6.542,261.4
11.267,260.6
10.65,251.4
9.508,249.3
8.842,247.1
7.883,242.8
6.792,232.3
7.958,294.9
7.675,282.8
6.942,301.1
6.85,333.6
8.017,363.9
8.383,371.7
11.15,360.4
11.508,342.8
9.092,320.6
8.008,331.1
6.9,358.6
5.65,369.4
5.05,362
4.692,378.6
5.458,431
7.05,450
7.592,427
6.992,417.5
6.267,426.7
5.867,427.3
5.467,480.3
5.117,442.1
4.617,420.5
4.375,420.5
4.133,420
4.8,409.9
5.625,402.1
5.658,397.8
5.417,411.5
4.975,425
4.592,442.3
4.392,416.7
5.317,410
8.05,382.3
8.483,366.5
7.917,362.4
7.825,355.5
7.367,335.1
5.85,314.1
8.225,299.8
8.033,301.6
6.558,348.1
6.417,375.1
7.233,408.5
7.775,441.7
9.7,401.8
8.3,355.2
5.517,334.7
4.65,346.6
4.067,335.5
3.617,359.7
3.108,396.7
4.125,378
6.35,431.9
8.567,462
8.883,394.5
7.742,401.7
6.9,375.5
6.325,368
5.458,347.2
5.158,333.5
4.617,312.1
4.158,286.6
4.092,297.7
4.575,309.3
4.975,285.6
5.325,285.7
5.158,247.5
5.058,252
4.942,230.4
5.192,229.1
7.775,252.8
11,254.3
11.208,257.4
11.033,246.1
10.392,253
9.258,257.3
7.692,219.2
7.2,599.2
6.883,636.2
5.725,637.6
5.017,678.3
6.742,660
8.125,640.4
11.092,720
9.858,616.8
6.9,624.5
6.908,631
6.433,674.6
5.533,664.9
4.658,741.2
4.617,813.7
4.792,976.6
6.133,972.5
6.733,944.5
7.267,1023.4
6.242,1030.5
5.208,981.9
5.783,996.9
4.575,990.3
3.758,903.2
4.258,847.2
3.758,828.1
5.217,815.2
5.808,822.7
6.908,806.4
6.825,789.9
6.725,767
6.433,771.1
5.667,785.7
6.792,731
11.258,675.2
